iter	Passed	Remaining
470	674	757
471	675	755
472	676	753
473	677	751
474	677	749
475	678	747
476	679	744
477	680	742
478	681	740
479	682	738
480	685	739
481	686	737
482	686	735
483	687	733
484	688	731
485	689	729
486	690	727
487	691	725
488	692	723
489	692	721
490	693	719
491	694	716
492	695	715
493	696	712
494	696	710
495	697	709
496	699	708
497	700	706
498	701	704
499	702	702
500	703	700
501	704	698
502	705	696
503	706	695
504	707	693
505	708	691
506	708	689
507	709	687
508	710	685
509	711	683
510	712	681
511	714	680
512	715	678
513	716	677
514	717	675
515	718	673
516	719	671
517	720	669
518	720	668
519	721	666
520	722	664
521	723	662
522	724	660
523	725	659
524	726	657
525	728	656
526	729	655
527	730	653
528	731	651
529	732	649
530	733	647
531	734	646
532	735	644
533	736	642
534	737	640
535	737	638
536	738	636
537	739	635
538	740	633
539	743	633
540	744	631
541	744	629
542	745	627
543	746	625
544	747	624
545	748	622
546	749	620
547	750	619
548	751	617
549	752	615
550	753	613
551	754	611
552	754	610
553	755	608
554	758	607
555	759	606
556	760	604
557	761	602
558	761	600
559	762	599
560	763	597
561	764	595
562	765	593
563	765	592
564	766	590
565	767	588
566	768	587
567	769	585
568	770	583
569	773	583
570	774	582
571	775	580
572	776	578
573	777	576
574	778	575
575	779	573
576	780	571
577	781	570
578	782	568
579	783	567
580	784	565
581	784	563
582	785	562
583	788	561
584	789	560
585	790	558
586	791	557
587	792	555
588	793	553
589	794	551
590	795	550
591	795	548
592	796	546
593	797	545
594	798	543
595	799	541
596	800	540
597	801	538
598	803	538
599	804	536
600	805	534
601	806	533
602	807	531
603	808	530
604	809	528
605	810	527
606	811	525
607	812	523
608	813	522
609	814	520
610	815	519
611	816	517
612	819	517
613	820	515
614	821	514
615	822	512
616	823	511
617	824	509
618	826	508
619	828	507
620	829	506
621	830	504
622	832	503
623	834	502
624	835	501
625	836	499
626	837	497
627	838	496
628	839	495
629	840	493
630	841	492
631	842	490
632	843	488
633	844	487
634	845	485
635	848	485
636	850	484
637	854	484
638	857	484
639	858	482
640	867	485
641	869	485
642	871	483
643	872	482
644	873	480
645	874	479
646	876	478
647	886	481
648	888	480
649	889	478
650	891	477
651	893	476
652	895	476
653	897	474
654	899	473
655	900	472
656	902	471
657	903	469
658	912	472
659	915	471
660	917	470
661	919	469
662	927	471
663	932	471
664	933	470
665	941	472
666	945	471
667	947	471
668	949	469
669	950	468
670	960	470
671	973	474
672	975	473
673	977	472
674	978	471
675	979	469
676	980	467
677	980	465
678	981	464
679	982	462
680	983	460
681	985	459
682	987	458
683	988	456
684	989	455
685	990	453
686	991	451
687	992	449
688	993	448
689	993	446
690	995	444
691	996	443
692	999	442
693	1001	441
694	1002	439
695	1003	438
696	1004	436
697	1005	434
698	1006	433
699	1008	432
700	1009	430
701	1016	431
702	1017	429
703	1019	428
704	1019	426
705	1020	425
706	1022	423
707	1023	422
708	1024	420
709	1033	422
710	1034	420
711	1035	419
712	1038	417
713	1039	416
714	1040	414
715	1043	413
716	1045	412
717	1047	411
718	1052	411
719	1053	409
720	1054	408
721	1056	406
722	1057	405
723	1059	403
724	1060	402
725	1067	402
726	1069	401
727	1071	400
728	1076	400
729	1079	399
730	1081	397
731	1082	396
732	1093	398
733	1095	397
734	1097	395
735	1099	394
736	1102	393
737	1110	394
738	1111	392
739	1113	391
740	1114	389
741	1115	387
742	1118	386
743	1124	386
744	1126	385
745	1127	383
746	1131	383
747	1132	381
748	1141	382
749	1143	381
750	1144	379
751	1145	377
752	1146	376
753	1147	374
754	1149	372
755	1151	371
756	1153	370
757	1154	368
758	1155	366
759	1156	365
760	1157	363
761	1158	361
762	1159	360
763	1160	358
764	1161	356
765	1162	355
766	1163	353
767	1166	352
768	1167	350
769	1168	349
770	1170	347
771	1171	345
772	1172	344
773	1173	342
774	1174	340
775	1175	339
776	1177	337
777	1178	336
778	1184	336
779	1186	334
780	1187	332
781	1188	331
782	1190	329
783	1192	328
784	1198	328
785	1200	326
786	1201	325
787	1202	323
788	1203	321
789	1204	320
790	1205	318
791	1206	316
792	1207	315
793	1209	313
794	1213	312
795	1214	311
796	1215	309
797	1215	307
798	1216	306
799	1217	304
800	1218	302
801	1219	301
802	1220	299
803	1221	297
804	1223	296
805	1225	295
806	1228	293
807	1230	292
808	1233	291
809	1234	289
810	1234	287
811	1235	286
812	1237	284
813	1237	282
814	1239	281
815	1243	280
816	1245	278
817	1246	277
818	1246	275
819	1251	274
820	1253	273
821	1254	271
822	1256	270
823	1258	268
824	1260	267
825	1262	265
826	1263	264
827	1264	262
828	1265	260
829	1266	259
830	1266	257
831	1267	255
832	1268	254
833	1269	252
834	1273	251
835	1274	249
836	1275	248
837	1275	246
838	1277	245
839	1278	243
840	1279	241
841	1280	240
842	1281	238
843	1282	236
844	1282	235
845	1286	234
846	1287	232
847	1288	230
848	1289	229
849	1291	227
850	1292	226
851	1293	224
852	1295	223
853	1295	221
854	1296	219
855	1297	218
856	1298	216
857	1301	215
858	1302	213
859	1303	212
860	1304	210
861	1305	208
862	1306	207
863	1307	205
864	1308	204
865	1308	202
866	1309	200
867	1310	199
868	1311	197
869	1312	196
870	1313	194
871	1317	193
872	1318	191
873	1319	190
874	1321	188
875	1322	187
876	1322	185
877	1323	183
878	1324	182
879	1325	180
880	1326	179
881	1327	177
882	1328	175
883	1329	174
884	1331	173
885	1333	171
886	1334	170
887	1336	168
888	1338	167
889	1339	165
890	1340	164
891	1348	163
892	1349	161
893	1350	160
894	1351	158
895	1351	156
896	1352	155
897	1353	153
898	1354	152
899	1355	150
900	1356	149
901	1357	147
902	1359	146
903	1360	144
904	1361	142
905	1363	141
906	1364	139
907	1365	138
908	1366	136
909	1366	135
910	1367	133
911	1369	132
912	1370	130
913	1371	129
914	1374	127
915	1376	126
916	1377	124
917	1378	123
918	1379	121
919	1379	119
920	1380	118
921	1381	116
922	1382	115
923	1383	113
924	1384	112
925	1385	110
926	1386	109
927	1388	107
928	1390	106
929	1391	104
930	1392	103
931	1394	101
932	1395	100
933	1396	98
934	1396	97
935	1397	95
936	1398	94
937	1399	92
938	1400	90
939	1405	89
940	1406	88
941	1407	86
942	1409	85
943	1411	83
944	1412	82
945	1413	80
946	1414	79
947	1415	77
948	1417	76
949	1419	74
950	1421	73
951	1423	71
952	1424	70
953	1425	68
954	1426	67
955	1427	65
956	1428	64
957	1429	62
958	1430	61
959	1431	59
960	1433	58
961	1435	56
962	1437	55
963	1438	53
964	1439	52
965	1440	50
966	1442	49
967	1442	47
968	1443	46
969	1444	44
970	1445	43
971	1448	41
972	1450	40
973	1452	38
974	1454	37
975	1455	35
976	1456	34
977	1458	32
978	1459	31
979	1460	29
980	1462	28
981	1465	26
982	1466	25
983	1467	23
984	1468	22
985	1470	20
986	1471	19
987	1472	17
988	1474	16
989	1475	14
990	1480	13
991	1482	11
992	1485	10
993	1487	8
994	1490	7
995	1495	6
996	1497	4
997	1503	3
998	1505	1
999	1518	0
